Name,Goals,Yellow cards,Red cards,Team
Mário Švec,0,1,0,Stará Ľubovňa Redfox Football Club
Filip Regitko,0,2,0,Stará Ľubovňa Redfox Football Club
Ibrahim Suaib,0,0,0,Stará Ľubovňa Redfox Football Club
Szymon Witek,1,4,0,Stará Ľubovňa Redfox Football Club
Michal Piter Bučko,8,6,0,Stará Ľubovňa Redfox Football Club
Samuel Kuc,1,4,0,Stará Ľubovňa Redfox Football Club
Peter Imrich,0,0,0,Stará Ľubovňa Redfox Football Club
Filip Vojtek,3,10,0,Stará Ľubovňa Redfox Football Club
Martin Rabik,1,0,0,Stará Ľubovňa Redfox Football Club
Filip Turlík,4,6,1,Stará Ľubovňa Redfox Football Club
Kamil Karaš,5,2,0,Stará Ľubovňa Redfox Football Club
Filip Serečin,21,3,0,Stará Ľubovňa Redfox Football Club
Szymon Wojciech Majeran,1,4,0,Stará Ľubovňa Redfox Football Club
Patrik Rindoš,0,1,0,Stará Ľubovňa Redfox Football Club
Kamil Rečičár,0,1,0,Stará Ľubovňa Redfox Football Club
Dávid Haščák,0,3,0,Stará Ľubovňa Redfox Football Club
Tomáš Kaleta,0,0,0,Stará Ľubovňa Redfox Football Club
Tomáš Štefaník,0,2,0,Stará Ľubovňa Redfox Football Club
Samuel Segeďa,0,3,0,Stará Ľubovňa Redfox Football Club
Marek Vasiľ,4,4,0,Stará Ľubovňa Redfox Football Club
Kristian Močić,1,3,0,Stará Ľubovňa Redfox Football Club
Tomasz Bomba,1,5,0,Stará Ľubovňa Redfox Football Club
Matúš Perháč,3,1,0,Stará Ľubovňa Redfox Football Club
Kristián Tináth,4,4,0,Stará Ľubovňa Redfox Football Club
Erik Jendrišek,5,2,0,Stará Ľubovňa Redfox Football Club
