Name,Goals,Yellow cards,Red cards,Team
Dušan Dlugoš,0,1,0,MŠK Tesla Stropkov
Samuel Seman,0,0,0,MŠK Tesla Stropkov
Filip Špak,1,4,1,MŠK Tesla Stropkov
Miroslav Keresteš,4,4,0,MŠK Tesla Stropkov
Marek Matkobiš,0,6,0,MŠK Tesla Stropkov
Lukáš Zapotocký,0,2,0,MŠK Tesla Stropkov
Samuel Červeňák,0,0,0,MŠK Tesla Stropkov
Jakub Štefánik,0,7,0,MŠK Tesla Stropkov
Tobiáš Konár,0,0,0,MŠK Tesla Stropkov
Mamadou Traoré Coulibaly,0,4,0,MŠK Tesla Stropkov
Viktor Bochin,0,0,0,MŠK Tesla Stropkov
Klaudio Slebodník,0,0,0,MŠK Tesla Stropkov
Adam Marcišin,0,0,0,MŠK Tesla Stropkov
Dávid VIET NGUYEN HIEN,0,5,1,MŠK Tesla Stropkov
Jhonatan Garcia Araque,3,6,0,MŠK Tesla Stropkov
Marek Vasiľ,4,4,0,MŠK Tesla Stropkov
Martin Polaščík,4,0,0,MŠK Tesla Stropkov
Alex Olejár,3,9,1,MŠK Tesla Stropkov
Erik Hurný,1,3,0,MŠK Tesla Stropkov
Adrián Leško,8,4,1,MŠK Tesla Stropkov
Lukáš Milan Ivančo,0,1,0,MŠK Tesla Stropkov
Yevhenii Nemtinov,3,2,0,MŠK Tesla Stropkov
Marko Milunović,0,1,0,MŠK Tesla Stropkov
Richard Župa,0,0,0,MŠK Tesla Stropkov
Lukáš Jendrek,1,0,0,MŠK Tesla Stropkov
Richard Sabol,0,1,1,MŠK Tesla Stropkov
Dávid Keresteš,0,2,0,MŠK Tesla Stropkov
Jozef Sejka,0,0,0,MŠK Tesla Stropkov
Dávid Ivanecký,10,4,0,MŠK Tesla Stropkov
Frederik Varga,7,4,1,MŠK Tesla Stropkov
Šimon Dovičák,1,5,0,MŠK Tesla Stropkov
Filip Bobrovský,2,0,0,MŠK Tesla Stropkov
Kevin Daniel Castrillón Gómez,6,3,1,MŠK Tesla Stropkov
Aliou Diao,8,0,0,MŠK Tesla Stropkov
Mário Švec,0,1,0,Stará Ľubovňa Redfox Football Club
Filip Regitko,0,2,0,Stará Ľubovňa Redfox Football Club
Ibrahim Suaib,0,0,0,Stará Ľubovňa Redfox Football Club
Szymon Witek,1,4,0,Stará Ľubovňa Redfox Football Club
Michal Piter Bučko,8,6,0,Stará Ľubovňa Redfox Football Club
Samuel Kuc,1,4,0,Stará Ľubovňa Redfox Football Club
Peter Imrich,0,0,0,Stará Ľubovňa Redfox Football Club
Filip Vojtek,3,10,0,Stará Ľubovňa Redfox Football Club
Martin Rabik,1,0,0,Stará Ľubovňa Redfox Football Club
Filip Turlík,4,6,1,Stará Ľubovňa Redfox Football Club
Kamil Karaš,5,2,0,Stará Ľubovňa Redfox Football Club
Filip Serečin,21,3,0,Stará Ľubovňa Redfox Football Club
Szymon Wojciech Majeran,1,4,0,Stará Ľubovňa Redfox Football Club
Patrik Rindoš,0,1,0,Stará Ľubovňa Redfox Football Club
Kamil Rečičár,0,1,0,Stará Ľubovňa Redfox Football Club
Dávid Haščák,0,3,0,Stará Ľubovňa Redfox Football Club
Tomáš Kaleta,0,0,0,Stará Ľubovňa Redfox Football Club
Tomáš Štefaník,0,2,0,Stará Ľubovňa Redfox Football Club
Samuel Segeďa,0,3,0,Stará Ľubovňa Redfox Football Club
Marek Vasiľ,4,4,0,Stará Ľubovňa Redfox Football Club
Kristian Močić,1,3,0,Stará Ľubovňa Redfox Football Club
Tomasz Bomba,1,5,0,Stará Ľubovňa Redfox Football Club
Matúš Perháč,3,1,0,Stará Ľubovňa Redfox Football Club
Kristián Tináth,4,4,0,Stará Ľubovňa Redfox Football Club
Erik Jendrišek,5,2,0,Stará Ľubovňa Redfox Football Club
Peter Bartoš,0,0,0,ŠK Odeva Lipany
Lukáš Kivader,0,0,0,ŠK Odeva Lipany
Lukáš Šupka,0,0,0,ŠK Odeva Lipany
Mário Jacko,6,4,0,ŠK Odeva Lipany
Ján Dlugoš,5,5,0,ŠK Odeva Lipany
Radoslav Kamenec,0,8,0,ŠK Odeva Lipany
Branislav Poremba,0,3,2,ŠK Odeva Lipany
Lukáš Timko,0,2,0,ŠK Odeva Lipany
Jakub Bujňák,0,0,0,ŠK Odeva Lipany
Pavol Popovec,0,0,0,ŠK Odeva Lipany
Roman Kovalčík,4,7,0,ŠK Odeva Lipany
Slavomír Kraľovič,2,7,1,ŠK Odeva Lipany
Marcel Vysočan,12,5,0,ŠK Odeva Lipany
Aleksei Shliakhov,0,2,1,ŠK Odeva Lipany
Oleksandr Yeromin,0,0,0,ŠK Odeva Lipany
Peter Vitovič,8,8,0,ŠK Odeva Lipany
Adrián Jusko,0,0,0,ŠK Odeva Lipany
Nicolas Vysočan,0,0,0,ŠK Odeva Lipany
Lukáš Micherda,0,7,0,ŠK Odeva Lipany
Michal Kraľovič,7,2,0,ŠK Odeva Lipany
Jozef Vranko,4,1,1,ŠK Odeva Lipany
Michal Vysočan,2,0,0,ŠK Odeva Lipany
Benedikt Tomčík,0,0,0,ŠK Odeva Lipany
Matúš Sakala,0,0,0,ŠK Odeva Lipany
Kristián Tináth,4,4,0,ŠK Odeva Lipany
Miloš Lojka,0,1,0,MFK Snina
Matúš Lajtár,0,0,0,MFK Snina
Filip Piroščák,0,3,0,MFK Snina
Marco Antonio Cerqueira Bezerra,0,0,0,MFK Snina
Robert Klučiar,0,2,0,MFK Snina
Richard Maťoška,0,3,2,MFK Snina
Róbert Dický,8,6,2,MFK Snina
Fandenwer Erickson Gonzalez Mendez,3,7,0,MFK Snina
Martin Kirňák,0,0,0,MFK Snina
Jakub Suchý,0,1,0,MFK Snina
Lukáš Bednár,0,0,0,MFK Snina
Maroš Ferko,2,1,0,MFK Snina
Daniel Krajník,0,5,0,MFK Snina
Peter Kridla,0,3,0,MFK Snina
Breyner Zapata Uzuriaga,2,2,0,MFK Snina
Mateus De Oliveira Silva,1,12,0,MFK Snina
Tomáš Kroka,9,7,0,MFK Snina
Radovan GALANDA,0,0,0,MFK Snina
Jozef-Šimon Turik,2,4,0,MFK Snina
Richard Piliar,0,1,0,MFK Snina
Tomáš ŠPITALIK,0,0,0,MFK Snina
Adrián TÓTH,0,0,0,MFK Snina
Tomáš Maťoška,0,0,0,MFK Snina
Jonáš Gerboc,0,0,0,MFK Snina
Ladislav Mitro,1,1,0,MFK Snina
Vinicius De Oliveira Veneranda,10,5,1,MFK Snina
Patrik Švajka,4,3,0,MFK Snina
Patrik Košuda,8,3,1,MFK Snina
Marcos Paulo Costa De Oliveira,1,4,0,MFK Snina
Guilherme Batista Givigi,9,4,0,MFK Snina
Emil Sudimák,0,1,0,MFK Vranov nad Topľou
Vladyslav Havrylenko,0,0,0,MFK Vranov nad Topľou
Tomáš Vaňo,0,0,0,MFK Vranov nad Topľou
Tomáš Dráb,0,0,0,MFK Vranov nad Topľou
Marek Babjak,1,7,0,MFK Vranov nad Topľou
Milan Lukáč,0,2,1,MFK Vranov nad Topľou
Peter Šuľák,2,9,0,MFK Vranov nad Topľou
Marko Macejko,1,0,1,MFK Vranov nad Topľou
Rastislav Marcinko,5,2,2,MFK Vranov nad Topľou
Patrik Roháč,0,0,0,MFK Vranov nad Topľou
Michal Krajňak,3,4,2,MFK Vranov nad Topľou
Yaroslav Kolesnyk,0,0,0,MFK Vranov nad Topľou
Jakub Straka,9,1,2,MFK Vranov nad Topľou
Matúš Digoň,6,2,0,MFK Vranov nad Topľou
Lukáš Kulich,5,3,0,MFK Vranov nad Topľou
Roman Tomko,2,5,0,MFK Vranov nad Topľou
Jakub Rozkoš,1,0,0,MFK Vranov nad Topľou
Martin Sabol,2,8,0,MFK Vranov nad Topľou
Erik Tomko,0,0,0,MFK Vranov nad Topľou
Jakub Verčimák,7,3,0,MFK Vranov nad Topľou
Peter Milenky,2,2,0,MFK Vranov nad Topľou
Jakub Krupa,0,0,0,MFK Vranov nad Topľou
Kai Hatley - Wayland,0,0,0,MFK Vranov nad Topľou
Damián Brinarovský,0,0,0,MFK Vranov nad Topľou
Dávid Bajus,0,0,0,MFK Vranov nad Topľou
Marián Sabolčík,7,6,0,MFK Vranov nad Topľou
Jozef Kandala,4,4,0,MFK Vranov nad Topľou
Branislav Hreha,0,0,0,MFK Vranov nad Topľou
Erik Burcák,2,0,0,MFK Vranov nad Topľou
Frederik Valach,0,2,0,Slávia TU Košice
Ľubomír Pangrác,0,0,0,Slávia TU Košice
Filip Mišina,0,1,0,Slávia TU Košice
Juraj Nemčík,0,0,0,Slávia TU Košice
Matúš Putnocký,0,0,0,Slávia TU Košice
Marián Pásztor,0,6,0,Slávia TU Košice
Ľubomír Korijkov,2,1,0,Slávia TU Košice
Dominík Veselý,0,0,0,Slávia TU Košice
Matúš Baran,0,0,0,Slávia TU Košice
Peter Vilčko,0,3,1,Slávia TU Košice
Marcus Terezka,1,2,0,Slávia TU Košice
Yannick Kozák,0,1,0,Slávia TU Košice
Pavol Gere,0,4,0,Slávia TU Košice
František Vancák,6,3,0,Slávia TU Košice
Sidath Sow,9,3,0,Slávia TU Košice
Lukáš Urban,0,2,0,Slávia TU Košice
René Tobiaš,2,5,0,Slávia TU Košice
Michal Gallo,1,3,0,Slávia TU Košice
Martin Popovič,0,0,0,Slávia TU Košice
Adam Oros,0,0,0,Slávia TU Košice
Lukáš Čajnák,0,0,0,Slávia TU Košice
Jakub Nicolas Tišťan,0,5,0,Slávia TU Košice
Miroslav Sovič,2,0,0,Slávia TU Košice
Péter Varga,3,2,0,Slávia TU Košice
Adam Migač,2,0,0,Slávia TU Košice
Onyeka Chukwu,1,3,1,Slávia TU Košice
Matej Timkovič,0,0,0,Slávia TU Košice
Artem Kolesnyk,0,0,0,Slávia TU Košice
Jawad El Arroud,0,0,0,Slávia TU Košice
Norbert Matta,0,0,0,Slávia TU Košice
Damián Urban,0,0,0,Slávia TU Košice
Alex Mihók,5,3,0,Slávia TU Košice
Richard Slanina,0,0,0,Slávia TU Košice
Maroš Harvila,2,3,0,Slávia TU Košice
Noah Randazzo,5,1,0,Slávia TU Košice
Jaroslav Kolbas,5,1,0,Slávia TU Košice
Samuel Segeďa,0,3,0,Slávia TU Košice
Mojmír Trebuňák,1,3,0,Slávia TU Košice
Vladimír Chovaník,0,0,0,Slávia TU Košice
Samuel Závacký,0,0,0,Slávia TU Košice
Niko Páriš,0,0,0,FTC Fiľakovo
Miroslav Žilík,0,0,0,FTC Fiľakovo
Máté Balázs,0,0,0,FTC Fiľakovo
Rihárd Illés,0,6,0,FTC Fiľakovo
Richard Nemergut,2,5,0,FTC Fiľakovo
Adam Hornyák,0,2,0,FTC Fiľakovo
Kornel Telek,0,4,1,FTC Fiľakovo
Oleksandr Komar,0,1,0,FTC Fiľakovo
Máté Köböl,0,1,0,FTC Fiľakovo
Lukáš Kojnok,0,8,0,FTC Fiľakovo
Daniel Košík,0,0,0,FTC Fiľakovo
Matej Fajd,0,0,0,FTC Fiľakovo
Erik Urbančok,0,3,0,FTC Fiľakovo
Dominik Iboš,2,5,0,FTC Fiľakovo
Adam Hronček,1,1,0,FTC Fiľakovo
Štefan Rubint,1,4,0,FTC Fiľakovo
Nikolas Ádám,0,1,0,FTC Fiľakovo
Dominik Adamec,2,3,0,FTC Fiľakovo
Ernö Major,5,1,0,FTC Fiľakovo
Marko Püšpöky,1,10,0,FTC Fiľakovo
Gocha Tchania,0,3,0,FTC Fiľakovo
Irakli Akirtava,7,2,1,FTC Fiľakovo
Graham Mbong Ajebe Metuk,10,6,0,FTC Fiľakovo
Pál Kristóf Ciceu,2,1,0,FTC Fiľakovo
Otari Kvernadze,4,5,0,FTC Fiľakovo
Branislav Sokol,0,2,0,MŠK Rimavská Sobota
Krisztián Gregor,0,0,0,MŠK Rimavská Sobota
Daniel Kotrík,0,0,0,MŠK Rimavská Sobota
Dominik Ťapaj,0,2,0,MŠK Rimavská Sobota
Tomáš Frühwald,0,1,0,MŠK Rimavská Sobota
Radauel Kaua Port,0,1,0,MŠK Rimavská Sobota
Bozhidar Krstich,0,2,2,MŠK Rimavská Sobota
Viktor Úradník,5,4,0,MŠK Rimavská Sobota
Peter Petrán,1,5,1,MŠK Rimavská Sobota
Raymond Oluwaseun Japhet,2,5,0,MŠK Rimavská Sobota
Matúš Krištof,2,6,2,MŠK Rimavská Sobota
Hugo Ciprus,1,7,0,MŠK Rimavská Sobota
Lukáš Lupták,1,4,1,MŠK Rimavská Sobota
Mário Mrva,1,0,0,MŠK Rimavská Sobota
Giuliano Antonio Marek,0,0,0,MŠK Rimavská Sobota
Juraj Kotula,0,0,0,MŠK Rimavská Sobota
Lukáš Filipiak,0,0,0,MŠK Rimavská Sobota
David Jackuliak,5,4,0,MŠK Rimavská Sobota
Kevin Oláh,6,6,0,MŠK Rimavská Sobota
Sebastian Gembický,3,9,0,MŠK Rimavská Sobota
Jakub Luka,0,4,2,MŠK Rimavská Sobota
Csaba Juhász,5,0,0,MŠK Rimavská Sobota
Joao Paolo De Lima Da Silva,1,1,0,MŠK Rimavská Sobota
Adam Kurek,0,0,0,MŠK Rimavská Sobota
Matej Vargic,2,4,0,MŠK Rimavská Sobota
Kevin Švehla,2,0,0,MŠK Rimavská Sobota
Oliver Luterán,0,0,0,MŠK Rimavská Sobota
Timotej Múdry,0,0,0,MŠK Rimavská Sobota
Kristóf Domonkos,0,1,0,MŠK Rimavská Sobota
Jakub Rakyta,0,2,1,MŠK Rimavská Sobota
Marek Zsigmund,0,0,0,MŠK Rimavská Sobota
Sodiq Aremu,9,0,0,MŠK Rimavská Sobota
Matúš Matej,2,2,0,MŠK Rimavská Sobota
Martin Boďa,0,0,0,MŠK Rimavská Sobota
Olami Abiodun Agboola,0,0,0,MŠK Rimavská Sobota
Emmanuel Emeka Okonji,3,1,0,MŠK Rimavská Sobota
Paul Chinedu Ngwu,0,3,0,MŠK Rimavská Sobota
Marián Chobot,0,0,0,MŠK Rimavská Sobota
Tomáš Lešňovský,0,0,1,MŠK Námestovo
Nikolas Serdel,0,0,0,MŠK Námestovo
Erik Krivulčík,0,1,0,MŠK Námestovo
Matej Klinovský,0,0,0,MŠK Námestovo
Daniel Kubica,0,0,0,MŠK Námestovo
Dávid Hrubjak,0,1,0,MŠK Námestovo
Vojtech Fukas,1,5,0,MŠK Námestovo
Ľubomír Jaššo,2,7,0,MŠK Námestovo
Nassim Aliouat,0,7,1,MŠK Námestovo
Dávid Vorčák,0,1,0,MŠK Námestovo
Matúš Melek,0,0,0,MŠK Námestovo
Martin Habiňák,1,6,0,MŠK Námestovo
Martin Palider,0,8,0,MŠK Námestovo
Matúš Snovák,1,2,0,MŠK Námestovo
Matúš Otruba,12,3,0,MŠK Námestovo
