Name,Appearances,Goals,Yellow cards,Red cards,Team
Dušan Dlugoš,27,0,1,0,MŠK Tesla Stropkov
Samuel Seman,2,0,0,0,MŠK Tesla Stropkov
Filip Špak,22,1,4,1,MŠK Tesla Stropkov
Miroslav Keresteš,22,4,4,0,MŠK Tesla Stropkov
Marek Matkobiš,20,0,6,0,MŠK Tesla Stropkov
Lukáš Zapotocký,18,0,2,0,MŠK Tesla Stropkov
Samuel Červeňák,2,0,0,0,MŠK Tesla Stropkov
Jakub Štefánik,18,0,7,0,MŠK Tesla Stropkov
Tobiáš Konár,0,0,0,0,MŠK Tesla Stropkov
Mamadou Traoré Coulibaly,21,0,4,0,MŠK Tesla Stropkov
Viktor Bochin,0,0,0,0,MŠK Tesla Stropkov
Klaudio Slebodník,1,0,0,0,MŠK Tesla Stropkov
Adam Marcišin,0,0,0,0,MŠK Tesla Stropkov
Dávid VIET NGUYEN HIEN,21,0,5,1,MŠK Tesla Stropkov
Jhonatan Garcia Araque,25,3,6,0,MŠK Tesla Stropkov
Marek Vasiľ,26,4,4,0,MŠK Tesla Stropkov
Martin Polaščík,12,4,0,0,MŠK Tesla Stropkov
Alex Olejár,21,3,9,1,MŠK Tesla Stropkov
Erik Hurný,23,1,3,0,MŠK Tesla Stropkov
Adrián Leško,18,8,4,1,MŠK Tesla Stropkov
Lukáš Milan Ivančo,8,0,1,0,MŠK Tesla Stropkov
Yevhenii Nemtinov,8,3,2,0,MŠK Tesla Stropkov
Marko Milunović,1,0,1,0,MŠK Tesla Stropkov
Richard Župa,1,0,0,0,MŠK Tesla Stropkov
Lukáš Jendrek,11,1,0,0,MŠK Tesla Stropkov
Richard Sabol,9,0,1,1,MŠK Tesla Stropkov
Dávid Keresteš,4,0,2,0,MŠK Tesla Stropkov
Jozef Sejka,0,0,0,0,MŠK Tesla Stropkov
Dávid Ivanecký,27,10,4,0,MŠK Tesla Stropkov
Frederik Varga,17,7,4,1,MŠK Tesla Stropkov
Šimon Dovičák,20,1,5,0,MŠK Tesla Stropkov
Filip Bobrovský,6,2,0,0,MŠK Tesla Stropkov
Kevin Daniel Castrillón Gómez,13,6,3,1,MŠK Tesla Stropkov
Aliou Diao,6,8,0,0,MŠK Tesla Stropkov
Mário Švec,15,0,1,0,Stará Ľubovňa Redfox Football Club
Filip Regitko,11,0,2,0,Stará Ľubovňa Redfox Football Club
Ibrahim Suaib,3,0,0,0,Stará Ľubovňa Redfox Football Club
Szymon Witek,27,1,4,0,Stará Ľubovňa Redfox Football Club
Michal Piter Bučko,27,8,6,0,Stará Ľubovňa Redfox Football Club
Samuel Kuc,13,1,4,0,Stará Ľubovňa Redfox Football Club
Peter Imrich,16,0,0,0,Stará Ľubovňa Redfox Football Club
Filip Vojtek,22,3,10,0,Stará Ľubovňa Redfox Football Club
Martin Rabik,6,1,0,0,Stará Ľubovňa Redfox Football Club
Filip Turlík,26,4,6,1,Stará Ľubovňa Redfox Football Club
Kamil Karaš,28,5,2,0,Stará Ľubovňa Redfox Football Club
Filip Serečin,27,21,3,0,Stará Ľubovňa Redfox Football Club
Szymon Wojciech Majeran,27,1,4,0,Stará Ľubovňa Redfox Football Club
Patrik Rindoš,24,0,1,0,Stará Ľubovňa Redfox Football Club
Kamil Rečičár,5,0,1,0,Stará Ľubovňa Redfox Football Club
Dávid Haščák,18,0,3,0,Stará Ľubovňa Redfox Football Club
Tomáš Kaleta,2,0,0,0,Stará Ľubovňa Redfox Football Club
Tomáš Štefaník,9,0,2,0,Stará Ľubovňa Redfox Football Club
Samuel Segeďa,21,0,3,0,Stará Ľubovňa Redfox Football Club
Marek Vasiľ,26,4,4,0,Stará Ľubovňa Redfox Football Club
Kristian Močić,13,1,3,0,Stará Ľubovňa Redfox Football Club
Tomasz Bomba,26,1,5,0,Stará Ľubovňa Redfox Football Club
Matúš Perháč,25,3,1,0,Stará Ľubovňa Redfox Football Club
Kristián Tináth,22,4,4,0,Stará Ľubovňa Redfox Football Club
Erik Jendrišek,9,5,2,0,Stará Ľubovňa Redfox Football Club
Peter Bartoš,27,0,0,0,ŠK Odeva Lipany
Lukáš Kivader,0,0,0,0,ŠK Odeva Lipany
Lukáš Šupka,5,0,0,0,ŠK Odeva Lipany
Mário Jacko,28,6,4,0,ŠK Odeva Lipany
Ján Dlugoš,27,5,5,0,ŠK Odeva Lipany
Radoslav Kamenec,22,0,8,0,ŠK Odeva Lipany
Branislav Poremba,23,0,3,2,ŠK Odeva Lipany
Lukáš Timko,17,0,2,0,ŠK Odeva Lipany
Jakub Bujňák,0,0,0,0,ŠK Odeva Lipany
Pavol Popovec,1,0,0,0,ŠK Odeva Lipany
Roman Kovalčík,27,4,7,0,ŠK Odeva Lipany
Slavomír Kraľovič,25,2,7,1,ŠK Odeva Lipany
Marcel Vysočan,26,12,5,0,ŠK Odeva Lipany
Aleksei Shliakhov,27,0,2,1,ŠK Odeva Lipany
Oleksandr Yeromin,0,0,0,0,ŠK Odeva Lipany
Peter Vitovič,24,8,8,0,ŠK Odeva Lipany
Adrián Jusko,0,0,0,0,ŠK Odeva Lipany
Nicolas Vysočan,1,0,0,0,ŠK Odeva Lipany
Lukáš Micherda,22,0,7,0,ŠK Odeva Lipany
Michal Kraľovič,28,7,2,0,ŠK Odeva Lipany
Jozef Vranko,25,4,1,1,ŠK Odeva Lipany
Michal Vysočan,25,2,0,0,ŠK Odeva Lipany
Benedikt Tomčík,14,0,0,0,ŠK Odeva Lipany
Matúš Sakala,0,0,0,0,ŠK Odeva Lipany
Kristián Tináth,22,4,4,0,ŠK Odeva Lipany
Miloš Lojka,8,0,1,0,MFK Snina
Matúš Lajtár,7,0,0,0,MFK Snina
Filip Piroščák,13,0,3,0,MFK Snina
Marco Antonio Cerqueira Bezerra,0,0,0,0,MFK Snina
Robert Klučiar,10,0,2,0,MFK Snina
Richard Maťoška,25,0,3,2,MFK Snina
Róbert Dický,25,8,6,2,MFK Snina
Fandenwer Erickson Gonzalez Mendez,26,3,7,0,MFK Snina
Martin Kirňák,0,0,0,0,MFK Snina
Jakub Suchý,10,0,1,0,MFK Snina
Lukáš Bednár,10,0,0,0,MFK Snina
Maroš Ferko,12,2,1,0,MFK Snina
Daniel Krajník,13,0,5,0,MFK Snina
Peter Kridla,14,0,3,0,MFK Snina
Breyner Zapata Uzuriaga,10,2,2,0,MFK Snina
Mateus De Oliveira Silva,23,1,12,0,MFK Snina
Tomáš Kroka,27,9,7,0,MFK Snina
Radovan GALANDA,10,0,0,0,MFK Snina
Jozef-Šimon Turik,25,2,4,0,MFK Snina
Richard Piliar,7,0,1,0,MFK Snina
Tomáš ŠPITALIK,0,0,0,0,MFK Snina
Adrián TÓTH,4,0,0,0,MFK Snina
Tomáš Maťoška,0,0,0,0,MFK Snina
Jonáš Gerboc,1,0,0,0,MFK Snina
Ladislav Mitro,17,1,1,0,MFK Snina
Vinicius De Oliveira Veneranda,24,10,5,1,MFK Snina
Patrik Švajka,26,4,3,0,MFK Snina
Patrik Košuda,25,8,3,1,MFK Snina
Marcos Paulo Costa De Oliveira,8,1,4,0,MFK Snina
Guilherme Batista Givigi,14,9,4,0,MFK Snina
Emil Sudimák,3,0,1,0,MFK Vranov nad Topľou
Vladyslav Havrylenko,10,0,0,0,MFK Vranov nad Topľou
Tomáš Vaňo,1,0,0,0,MFK Vranov nad Topľou
Tomáš Dráb,14,0,0,0,MFK Vranov nad Topľou
Marek Babjak,26,1,7,0,MFK Vranov nad Topľou
Milan Lukáč,20,0,2,1,MFK Vranov nad Topľou
Peter Šuľák,25,2,9,0,MFK Vranov nad Topľou
Marko Macejko,12,1,0,1,MFK Vranov nad Topľou
Rastislav Marcinko,25,5,2,2,MFK Vranov nad Topľou
Patrik Roháč,1,0,0,0,MFK Vranov nad Topľou
Michal Krajňak,26,3,4,2,MFK Vranov nad Topľou
Yaroslav Kolesnyk,1,0,0,0,MFK Vranov nad Topľou
Jakub Straka,25,9,1,2,MFK Vranov nad Topľou
Matúš Digoň,18,6,2,0,MFK Vranov nad Topľou
Lukáš Kulich,20,5,3,0,MFK Vranov nad Topľou
Roman Tomko,22,2,5,0,MFK Vranov nad Topľou
Jakub Rozkoš,9,1,0,0,MFK Vranov nad Topľou
Martin Sabol,25,2,8,0,MFK Vranov nad Topľou
Erik Tomko,0,0,0,0,MFK Vranov nad Topľou
Jakub Verčimák,25,7,3,0,MFK Vranov nad Topľou
Peter Milenky,17,2,2,0,MFK Vranov nad Topľou
Jakub Krupa,0,0,0,0,MFK Vranov nad Topľou
Kai Hatley - Wayland,6,0,0,0,MFK Vranov nad Topľou
Damián Brinarovský,11,0,0,0,MFK Vranov nad Topľou
Dávid Bajus,0,0,0,0,MFK Vranov nad Topľou
Marián Sabolčík,19,7,6,0,MFK Vranov nad Topľou
Jozef Kandala,25,4,4,0,MFK Vranov nad Topľou
Branislav Hreha,2,0,0,0,MFK Vranov nad Topľou
Erik Burcák,8,2,0,0,MFK Vranov nad Topľou
Frederik Valach,3,0,2,0,Slávia TU Košice
